0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:17 +0530] "GET /ORSProject3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 27156
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:17 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:17 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:17 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:17 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:17 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:22 +0530] "GET /ORSProject3/ctl/CollegeListCtl HTTP/1.1" 200 28046
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:22 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:22 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:22 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:22 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:22 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:22 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:22 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:22 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:28 +0530] "GET /ORSProject3/ctl/CollegeCtl?id=1 HTTP/1.1" 200 22006
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:28 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:28 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:28 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:28 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:28 +0530] "GET /ORSProject3/js/bootstrap.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:28 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:28 +0530] "GET /ORSProject3/js/jquery.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:37 +0530] "GET /ORSProject3/ctl/TimeTableListCtl HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:37 +0530] "GET /ORSProject3/ctl/image/bger.jpg HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:39 +0530] "GET /ORSProject3/js/bootstrap.min.js HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:39 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:39 +0530] "GET /ORSProject3/js/font-awesome.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [02/Jan/2020:14:19:44 +0530] "GET /ORSProject3/ctl/RoleListCtl HTTP/1.1" 200 23291
